# EDUK2 solver execution report
# generated_at: 2026-08-23T23:23:32-03:00
instance	algorithm	status	runs	elapsed_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
saw_n100000wmin10000-0-s985850175c6792927.ukp	faithful	ok	1	0,054423	6793604,000000	6792927,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-0-s985850175c6792927.ukp	ocaml_pyasukpt	ok	1	11,203794	6793604,000000		0,000000			413243,000000	10001,000000	Saw ukp       2539 true          1     413243 false         6793604   11.16915 10001
saw_n100000wmin10000-100-s565370992c7030881.ukp	faithful	ok	1	0,321181	7032985,000000	7030881,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-100-s565370992c7030881.ukp	ocaml_pyasukpt	ok	1	5,308734	7032985,000000		0,000000			544057,000000	10001,000000	Saw ukp       1871 true          1     544057 false         7032985    5.27992 10001
saw_n100000wmin10000-101-s165560274c9800050.ukp	faithful	ok	1	0,046159	9804944,000000	9800050,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-101-s165560274c9800050.ukp	ocaml_pyasukpt	ok	1	27,326543	9804944,000000		0,000000			798236,000000	10001,000000	Saw ukp       4879 true          1     798236 false         9804944   27.28242 10001
saw_n100000wmin10000-102-s444470635c8748522.ukp	faithful	ok	1	0,374609	8749393,000000	8748522,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-102-s444470635c8748522.ukp	ocaml_pyasukpt	ok	1	47,878093	8749393,000000		0,000000			1477963,000000	10001,000000	Saw ukp       5609 true          1    1477963 false         8749393   47.80591 10001
saw_n100000wmin10000-103-s635142197c1786659.ukp	faithful	ok	1	0,692402	1787191,000000	1786659,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-103-s635142197c1786659.ukp	ocaml_pyasukpt	ok	1	15,363789	1787191,000000		0,000000			711687,000000	10001,000000	Saw ukp       2965 false        318     711687 false         1787191   15.32484 10001
saw_n100000wmin10000-104-s336666965c9953534.ukp	faithful	ok	1	1,898722	9954526,000000	9953534,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-104-s336666965c9953534.ukp	ocaml_pyasukpt	ok	1	45,289153	9954526,000000		0,000000			1557721,000000	10001,000000	Saw ukp       5631 true          1    1557721 false         9954526   45.22849 10001
saw_n100000wmin10000-105-s713560984c2451647.ukp	faithful	ok	1	0,051832	2452866,000000	2451647,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-105-s713560984c2451647.ukp	ocaml_pyasukpt	ok	1	22,703315	2452866,000000		0,000000			704490,000000	10001,000000	Saw ukp       4293 true          1     704490 false         2452866   22.65851 10001
saw_n100000wmin10000-106-s446905429c3560225.ukp	faithful	ok	1	0,049642	3563679,000000	3560225,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-106-s446905429c3560225.ukp	ocaml_pyasukpt	ok	1	2,774924	3563679,000000		0,000000			405560,000000	10001,000000	Saw ukp       1237 true          1     405560 false         3563679    2.75253 10001
saw_n100000wmin10000-107-s927771679c8799369.ukp	faithful	ok	1	0,054345	8803763,000000	8799369,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-107-s927771679c8799369.ukp	ocaml_pyasukpt	ok	1	2,361220	8803763,000000		0,000000			203997,000000	10001,000000	Saw ukp       1258 true          1     203997 false         8803763    2.33491 10001
