# EDUK2 solver execution report
# generated_at: 2026-08-24T11:02:19-03:00
instance	algorithm	status	runs	elapsed_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
hi_n10000-0-s731232778c45667812.ukp	faithful	ok	1	0,130267	5393406643,000000	45667524,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n10000-0-s731232778c45667812.ukp	ocaml_pyasukpt	ok	1	1,321697	5393406643,000000		0,000000			396053,000000	10001,000000	Not a Saw ukp       7430 true          1     396053 false      5393406643    1.30280 10001
hi_n10000-100-s707331854c53704595.ukp	faithful	ok	1	0,130021	8639155906,000000	53704453,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n10000-100-s707331854c53704595.ukp	ocaml_pyasukpt	ok	1	0,697961	8639155906,000000		0,000000			403881,000000	10001,000000	Not a Saw ukp       5162 true          1     403881 false      8639155906    0.68913 10001
hi_n10000-101-s84621548c4166538.ukp	faithful	ok	1	0,039513	414902271,000000	4166484,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n10000-101-s84621548c4166538.ukp	ocaml_pyasukpt	ok	1	0,164964	414902271,000000		0,000000			8477,000000	10001,000000	Not a Saw ukp       2423 true          1       8477 false       414902271    0.15706 10001
hi_n10000-102-s172246721c6389019.ukp	faithful	ok	1	0,084263	1169749217,000000	6388910,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n10000-102-s172246721c6389019.ukp	ocaml_pyasukpt	ok	1	1,404128	1169749217,000000		0,000000			48047,000000	10001,000000	Not a Saw ukp       7387 true          1      48047 false      1169749217    1.39070 10001
hi_n10000-103-s178264529c10388797.ukp	faithful	ok	1	0,082582	1621027815,000000	10388738,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n10000-103-s178264529c10388797.ukp	ocaml_pyasukpt	ok	1	1,049486	1621027815,000000		0,000000			86613,000000	10001,000000	Not a Saw ukp       6182 true          1      86613 false      1621027815    1.03948 10001
hi_n10000-104-s327926759c45518851.ukp	faithful	ok	1	0,127962	6653111517,000000	45518745,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n10000-104-s327926759c45518851.ukp	ocaml_pyasukpt	ok	1	0,959046	6653111517,000000		0,000000			407378,000000	10001,000000	Not a Saw ukp       5777 true          1     407378 false      6653111517    0.94632 10001
hi_n10000-105-s142189552c45458930.ukp	faithful	ok	1	0,095803	5852329286,000000	45458895,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n10000-105-s142189552c45458930.ukp	ocaml_pyasukpt	ok	1	0,391369	5852329286,000000		0,000000			243541,000000	10001,000000	Not a Saw ukp       3675 true          1     243541 false      5852329286    0.38096 10001
hi_n10000-106-s848304836c42536160.ukp	faithful	ok	1	0,098758	7420621091,000000	42536143,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n10000-106-s848304836c42536160.ukp	ocaml_pyasukpt	ok	1	0,475325	7420621091,000000		0,000000			280072,000000	10001,000000	Not a Saw ukp       4085 true          1     280072 false      7420621091    0.46668 10001
hi_n10000-107-s714494527c75126340.ukp	faithful	ok	1	0,299222	13697776093,000000	75126328,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
hi_n10000-107-s714494527c75126340.ukp	ocaml_pyasukpt	ok	1	2,160993	13697776093,000000		0,000000			911286,000000	10001,000000	Not a Saw ukp       8514 false          2     911286 false     13697776093    2.14000 10001
