# EDUK2 solver execution report
# generated_at: 2026-08-24T00:56:39-03:00
instance	algorithm	status	runs	elapsed_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
nsds2_n20000wmin20000-0-s155213243c1596642.ukp	faithful	ok	1	0,038371	2015236,000000	1596636,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-0-s155213243c1596642.ukp	ocaml_pyasukpt	ok	1	0,300508	2015236,000000		0,000000			24163,000000	10001,000000	Not a Saw ukp       2069 false          2      24163 false         2015236    0.29048 10001
nsds2_n20000wmin20000-100-s305421952c1385552.ukp	faithful	ok	1	0,084807	1742372,000000	1385535,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-100-s305421952c1385552.ukp	ocaml_pyasukpt	ok	1	1,087692	1742372,000000		0,000000			27666,000000	500,000000	Not a Saw ukp       4653 false       1389      27666 false         1742372    1.07940 500
nsds2_n20000wmin20000-101-s879272876c1649031.ukp	faithful	ok	1	0,058305	2082185,000000	1649003,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-101-s879272876c1649031.ukp	ocaml_pyasukpt	ok	1	0,568009	2082185,000000		0,000000			18412,000000	10001,000000	Not a Saw ukp       2887 true          1      18412 false         2082185    0.55638 10001
nsds2_n20000wmin20000-102-s316472754c1228505.ukp	faithful	ok	1	0,027968	1551778,000000	1228491,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-102-s316472754c1228505.ukp	ocaml_pyasukpt	ok	1	0,070618	1551778,000000		0,000000			13532,000000	10001,000000	Not a Saw ukp        816 false          2      13532 false         1551778    0.06211 10001
nsds2_n20000wmin20000-103-s743151267c1121428.ukp	faithful	ok	1	0,036407	1419967,000000	1121424,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-103-s743151267c1121428.ukp	ocaml_pyasukpt	ok	1	0,141976	1419967,000000		0,000000			4587,000000	10001,000000	Not a Saw ukp       1239 false        216       4587 false         1419967    0.13334 10001
nsds2_n20000wmin20000-104-s207123742c1116716.ukp	faithful	ok	1	0,037742	1401886,000000	1116655,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-104-s207123742c1116716.ukp	ocaml_pyasukpt	ok	1	0,224372	1401886,000000		0,000000			2653,000000	8583,000000	Not a Saw ukp       1414 false        880       2653 false         1401886    0.21376 8583
nsds2_n20000wmin20000-105-s723015531c1439153.ukp	faithful	ok	1	0,046375	1828592,000000	1439137,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-105-s723015531c1439153.ukp	ocaml_pyasukpt	ok	1	0,463942	1828592,000000		0,000000			13089,000000	10001,000000	Not a Saw ukp       2379 false         54      13089 false         1828592    0.45434 10001
nsds2_n20000wmin20000-106-s32492284c1230787.ukp	faithful	ok	1	0,127230	1540618,000000	1230785,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-106-s32492284c1230787.ukp	ocaml_pyasukpt	ok	1	2,959964	1540618,000000		0,000000			22092,000000	500,000000	Not a Saw ukp       7816 false       3831      22092 false         1540618    2.94748 500
nsds2_n20000wmin20000-107-s31387311c1742111.ukp	faithful	ok	1	0,042881	2212973,000000	1742090,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-107-s31387311c1742111.ukp	ocaml_pyasukpt	ok	1	0,241800	2212973,000000		0,000000			71512,000000	10001,000000	Not a Saw ukp       1607 false          4      71512 false         2212973    0.23170 10001
nsds2_n20000wmin20000-108-s678444546c1220760.ukp	faithful	ok	1	0,066945	1543563,000000	1220711,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-108-s678444546c1220760.ukp	ocaml_pyasukpt	ok	1	1,241857	1543563,000000		0,000000			29324,000000	10001,000000	Not a Saw ukp       4260 false        272      29324 false         1543563    1.23133 10001
nsds2_n20000wmin20000-109-s507400487c1533768.ukp	faithful	ok	1	0,022857	1961499,000000	1533756,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-109-s507400487c1533768.ukp	ocaml_pyasukpt	ok	1	0,012528	1961499,000000		0,000000			1,000000	8724,000000	Not a Saw ukp          0 false          1          1 false         1961499    0.00606 8724
nsds2_n20000wmin20000-10-s260379653c1491928.ukp	faithful	ok	1	0,022597	1877550,000000	1491923,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-10-s260379653c1491928.ukp	ocaml_pyasukpt	ok	1	0,099087	1877550,000000		0,000000			17589,000000	10001,000000	Not a Saw ukp        850 true          1      17589 false         1877550    0.09037 10001
nsds2_n20000wmin20000-110-s245781550c1180507.ukp	faithful	ok	1	0,124646	1485920,000000	1180500,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-110-s245781550c1180507.ukp	ocaml_pyasukpt	ok	1	4,002757	1485920,000000		0,000000			17638,000000	500,000000	Not a Saw ukp       9027 false       2594      17638 false         1485920    3.98946 500
nsds2_n20000wmin20000-111-s259905739c1734985.ukp	faithful	ok	1	0,049675	2188861,000000	1734956,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-111-s259905739c1734985.ukp	ocaml_pyasukpt	ok	1	0,684591	2188861,000000		0,000000			18506,000000	10001,000000	Not a Saw ukp       2051 true          1      18506 false         2188861    0.67232 10001
nsds2_n20000wmin20000-112-s351421871c1221076.ukp	faithful	ok	1	0,041608	1539219,000000	1221041,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-112-s351421871c1221076.ukp	ocaml_pyasukpt	ok	1	0,842279	1539219,000000		0,000000			4611,000000	499,000000	Not a Saw ukp       4051 false       2627       4611 false         1539219    0.82965 499
nsds2_n20000wmin20000-113-s47721841c1790160.ukp	faithful	ok	1	0,215500	2239899,000000	1790159,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-113-s47721841c1790160.ukp	ocaml_pyasukpt	ok	1	5,551077	2239899,000000		0,000000			27374,000000	10001,000000	Not a Saw ukp       9020 false       1885      27374 false         2239899    5.52269 10001
nsds2_n20000wmin20000-114-s981619751c1457662.ukp	faithful	ok	1	0,065823	1838400,000000	1457662,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-114-s981619751c1457662.ukp	ocaml_pyasukpt	ok	1	0,661678	1838400,000000		0,000000			28023,000000	10001,000000	Not a Saw ukp       2686 false         27      28023 false         1838400    0.65107 10001
nsds2_n20000wmin20000-115-s11371460c1659902.ukp	faithful	ok	1	0,201148	2078600,000000	1659898,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-115-s11371460c1659902.ukp	ocaml_pyasukpt	ok	1	6,150459	2078600,000000		0,000000			24013,000000	500,000000	Not a Saw ukp      11427 false       2934      24013 false         2078600    6.13891 500
nsds2_n20000wmin20000-116-s405621139c1649266.ukp	faithful	ok	1	0,111643	2063116,000000	1649202,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-116-s405621139c1649266.ukp	ocaml_pyasukpt	ok	1	2,845878	2063116,000000		0,000000			20863,000000	10001,000000	Not a Saw ukp       6029 false       1840      20863 false         2063116    2.83371 10001
nsds2_n20000wmin20000-117-s207178132c1732003.ukp	faithful	ok	1	0,138011	2169695,000000	1731990,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-117-s207178132c1732003.ukp	ocaml_pyasukpt	ok	1	5,379679	2169695,000000		0,000000			13073,000000	1241,000000	Not a Saw ukp       9682 false       2839      13073 false         2169695    5.36599 1241
nsds2_n20000wmin20000-118-s19360487c1745870.ukp	faithful	ok	1	0,049263	2185560,000000	1745855,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-118-s19360487c1745870.ukp	ocaml_pyasukpt	ok	1	1,000994	2185560,000000		0,000000			8669,000000	10001,000000	Not a Saw ukp       3200 false        789       8669 false         2185560    0.99175 10001
nsds2_n20000wmin20000-119-s291809797c1601224.ukp	faithful	ok	1	0,197341	1999044,000000	1601179,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-119-s291809797c1601224.ukp	ocaml_pyasukpt	ok	1	3,981214	1999044,000000		0,000000			34182,000000	500,000000	Not a Saw ukp       7480 false       2139      34182 false         1999044    3.96940 500
nsds2_n20000wmin20000-11-s577782098c1871029.ukp	faithful	ok	1	0,028499	2366032,000000	1870991,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-11-s577782098c1871029.ukp	ocaml_pyasukpt	ok	1	0,049221	2366032,000000		0,000000			6995,000000	10001,000000	Not a Saw ukp        486 true          1       6995 false         2366032    0.04030 10001
nsds2_n20000wmin20000-120-s53290165c1825318.ukp	faithful	ok	1	0,135247	2300396,000000	1825307,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-120-s53290165c1825318.ukp	ocaml_pyasukpt	ok	1	2,476033	2300396,000000		0,000000			34347,000000	10001,000000	Not a Saw ukp       4753 false        508      34347 false         2300396    2.46304 10001
nsds2_n20000wmin20000-121-s611080474c1471487.ukp	faithful	ok	1	0,033930	1850716,000000	1471469,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
nsds2_n20000wmin20000-121-s611080474c1471487.ukp	ocaml_pyasukpt	ok	1	0,082292	1850716,000000		0,000000			4373,000000	10001,000000	Not a Saw ukp        620 false          5       4373 false         1850716    0.07347 10001
