# EDUK2 solver execution report
# generated_at: 2026-08-24T13:32:24-03:00
instance	algorithm	status	runs	elapsed_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
sc_a5n10000wmin10000-0-c6020768.ukp	faithful	ok	1	0,007657	6023778,000000	6020768,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a5n10000wmin10000-0-c6020768.ukp	ocaml_pyasukpt	ok	1	0,008866	6023778,000000		0,000000			1,000000	0,000000	Saw ukp          0 false          1          1 false         6023778    0.00245 0
sc_a-5n10000wmin10000-0-c6597874.ukp	faithful	ok	1	0,006458	6596224,000000	6597874,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a-5n10000wmin10000-0-c6597874.ukp	ocaml_pyasukpt	ok	1	0,006562	6596224,000000		0,000000			1,000000	0,000000	Not a Saw ukp          0 false          1          1 false         6596224    0.00134 0
sc_a5n10000wmin10000-10-c8957104.ukp	faithful	ok	1	0,007731	8961579,000000	8957104,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a5n10000wmin10000-10-c8957104.ukp	ocaml_pyasukpt	ok	1	0,009440	8961579,000000		0,000000			1,000000	0,000000	Saw ukp          0 false          1          1 false         8961579    0.00303 0
sc_a-5n10000wmin10000-10-c9549211.ukp	faithful	ok	1	0,213937	9546821,000000	9549211,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a-5n10000wmin10000-10-c9549211.ukp	ocaml_pyasukpt	ok	1	6,728951	9546821,000000		0,000000			39792,000000	10001,000000	Not a Saw ukp      10000 true          1      39792 false         9546821    6.71596 10001
sc_a-5n10000wmin10000-11-c9371285.ukp	faithful	ok	1	0,041616	9368940,000000	9371285,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a-5n10000wmin10000-11-c9371285.ukp	ocaml_pyasukpt	ok	1	3,004663	9368940,000000		0,000000			16413,000000	10001,000000	Not a Saw ukp       8247 true          1      16413 false         9368940    2.99426 10001
sc_a5n10000wmin10000-11-c9590518.ukp	faithful	ok	1	0,006472	9595313,000000	9590518,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a5n10000wmin10000-11-c9590518.ukp	ocaml_pyasukpt	ok	1	0,006058	9595313,000000		0,000000			1,000000	0,000000	Saw ukp          0 false          1          1 false         9595313    0.00000 0
sc_a5n10000wmin10000-12-c4402690.ukp	faithful	ok	1	0,007745	4404890,000000	4402690,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a5n10000wmin10000-12-c4402690.ukp	ocaml_pyasukpt	ok	1	0,008548	4404890,000000		0,000000			1,000000	0,000000	Saw ukp          0 false          1          1 false         4404890    0.00167 0
sc_a-5n10000wmin10000-12-c4476851.ukp	faithful	ok	1	0,006520	4475731,000000	4476851,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a-5n10000wmin10000-12-c4476851.ukp	ocaml_pyasukpt	ok	1	0,006072	4475731,000000		0,000000			1,000000	0,000000	Not a Saw ukp          0 false          1          1 false         4475731    0.00098 0
sc_a-5n10000wmin10000-13-c2131079.ukp	faithful	ok	1	0,034920	2130544,000000	2131079,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a-5n10000wmin10000-13-c2131079.ukp	ocaml_pyasukpt	ok	1	3,328423	2130544,000000		0,000000			17543,000000	10001,000000	Not a Saw ukp       8815 true          1      17543 false         2130544    3.31835 10001
