# EDUK2 solver execution report
# generated_at: 2026-08-24T18:59:49-03:00
# primary_time: internal_seconds (average over successful runs)
instance	algorithm	status	runs	internal_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
sc_a5n10000wmin10000-0-c6020768.ukp	faithful	ok	1	0.002091	6023778.000000	6020768.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.012797 last_stop_reason=
sc_a5n10000wmin10000-0-c6020768.ukp	ukp5	ok	1	0.036899	6023778.000000	6020768.000000	1					elapsed_seconds=0.063554
sc_a-5n10000wmin10000-0-c6597874.ukp	faithful	ok	1	0.003439	6596224.000000	6597874.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.008349 last_stop_reason=
sc_a-5n10000wmin10000-0-c6597874.ukp	ukp5	ok	1	0.065007	6596224.000000	6597874.000000	1					elapsed_seconds=0.093632
sc_a5n10000wmin10000-10-c8957104.ukp	faithful	ok	1	0.003284	8961579.000000	8957104.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.007969 last_stop_reason=
sc_a5n10000wmin10000-10-c8957104.ukp	ukp5	ok	1	0.036414	8961579.000000	8957104.000000	1					elapsed_seconds=0.071151
sc_a-5n10000wmin10000-10-c9549211.ukp	faithful	ok	1	0.272258	9546821.000000	9549211.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.285799 last_stop_reason=
sc_a-5n10000wmin10000-10-c9549211.ukp	ukp5	ok	1	0.061700	9546821.000000	9549211.000000	1					elapsed_seconds=0.096600
sc_a-5n10000wmin10000-11-c9371285.ukp	faithful	ok	1	0.029096	9368940.000000	9371285.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.042830 last_stop_reason=
sc_a-5n10000wmin10000-11-c9371285.ukp	ukp5	ok	1	0.077023	9368940.000000	9371285.000000	1					elapsed_seconds=0.114713
sc_a5n10000wmin10000-11-c9590518.ukp	faithful	ok	1	0.003330	9595313.000000	9590518.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.008388 last_stop_reason=
sc_a5n10000wmin10000-11-c9590518.ukp	ukp5	ok	1	0.041654	9595313.000000	9590518.000000	1					elapsed_seconds=0.077649
