# EDUK2 solver execution report
# generated_at: 2026-08-24T17:43:34-03:00
# primary_time: internal_seconds (average over successful runs)
instance	algorithm	status	runs	internal_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
hi_n10000-0-s731232778c45667812.ukp	faithful	ok	1	0.374634	5393406643.000000	45667524.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.384177 last_stop_reason=
hi_n10000-0-s731232778c45667812.ukp	ukp5	ok	1	0.969181	5393406643.000000	45667524.000000	1					elapsed_seconds=1.338195
hi_n10000-100-s707331854c53704595.ukp	faithful	ok	1	0.283943	8639155906.000000	53704453.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.291664 last_stop_reason=
hi_n10000-100-s707331854c53704595.ukp	ukp5	ok	1	1.368660	8639155906.000000	53704453.000000	1					elapsed_seconds=2.043946
hi_n10000-101-s84621548c4166538.ukp	faithful	ok	1	0.055152	414902271.000000	4166484.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.065011 last_stop_reason=
hi_n10000-101-s84621548c4166538.ukp	ukp5	ok	1	0.430877	414902271.000000	4166484.000000	1					elapsed_seconds=0.498064
hi_n10000-102-s172246721c6389019.ukp	faithful	ok	1	0.161294	1169749217.000000	6388910.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.168935 last_stop_reason=
hi_n10000-102-s172246721c6389019.ukp	ukp5	ok	1	0.594336	1169749217.000000	6388910.000000	1					elapsed_seconds=0.706365
hi_n10000-103-s178264529c10388797.ukp	faithful	ok	1	0.240950	1621027815.000000	10388738.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.254402 last_stop_reason=
hi_n10000-103-s178264529c10388797.ukp	ukp5	ok	1	0.476023	1621027815.000000	10388738.000000	1					elapsed_seconds=0.592724
hi_n10000-104-s327926759c45518851.ukp	faithful	ok	1	0.238711	6653111517.000000	45518745.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.244786 last_stop_reason=
hi_n10000-104-s327926759c45518851.ukp	ukp5	ok	1	0.826867	6653111517.000000	45518745.000000	1					elapsed_seconds=1.201862
hi_n10000-105-s142189552c45458930.ukp	faithful	ok	1	0.148218	5852329286.000000	45458895.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.154425 last_stop_reason=
hi_n10000-105-s142189552c45458930.ukp	ukp5	ok	1	1.032070	5852329286.000000	45458895.000000	1					elapsed_seconds=1.523437
hi_n10000-106-s848304836c42536160.ukp	faithful	ok	1	0.244052	7420621091.000000	42536143.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.251511 last_stop_reason=
hi_n10000-106-s848304836c42536160.ukp	ukp5	ok	1	0.699941	7420621091.000000	42536143.000000	1					elapsed_seconds=0.987627
hi_n10000-107-s714494527c75126340.ukp	faithful	ok	1	0.459656	13697776093.000000	75126328.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.467003 last_stop_reason=
hi_n10000-107-s714494527c75126340.ukp	ukp5	ok	1	1.035890	13697776093.000000	75126328.000000	1					elapsed_seconds=1.559217
hi_n10000-108-s95037918c53352688.ukp	faithful	ok	1	0.207756	9345241392.000000	53352660.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.213793 last_stop_reason=
hi_n10000-108-s95037918c53352688.ukp	ukp5	ok	1	0.725602	9345241392.000000	53352660.000000	1					elapsed_seconds=1.040712
hi_n10000-109-s463136216c75456123.ukp	faithful	ok	1	0.266325	10088865080.000000	75456044.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.272440 last_stop_reason=
hi_n10000-109-s463136216c75456123.ukp	ukp5	ok	1	0.771240	10088865080.000000	75456044.000000	1					elapsed_seconds=1.199581
hi_n10000-10-s199607488c69682757.ukp	faithful	ok	1	0.132133	8480122356.000000	69676890.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.137804 last_stop_reason=
hi_n10000-10-s199607488c69682757.ukp	ukp5	ok	1	0.806093	8480122356.000000	69676890.000000	1					elapsed_seconds=1.240195
hi_n10000-110-s212281133c21087652.ukp	faithful	ok	1	0.065691	3836043192.000000	21087652.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.071213 last_stop_reason=
hi_n10000-110-s212281133c21087652.ukp	ukp5	ok	1	0.384283	3836043192.000000	21087652.000000	1					elapsed_seconds=0.518927
hi_n10000-111-s586238258c3362862.ukp	faithful	ok	1	0.055291	567720945.000000	3362755.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.061025 last_stop_reason=
hi_n10000-111-s586238258c3362862.ukp	ukp5	ok	1	0.196968	567720945.000000	3362755.000000	1					elapsed_seconds=0.231958
hi_n10000-112-s192471812c88769444.ukp	faithful	ok	1	0.219928	9746226137.000000	88769313.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.225464 last_stop_reason=
hi_n10000-112-s192471812c88769444.ukp	ukp5	ok	1	0.881790	9746226137.000000	88769313.000000	1					elapsed_seconds=1.331594
hi_n10000-113-s992980497c45420750.ukp	faithful	ok	1	0.108100	4569770267.000000	45420738.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.113367 last_stop_reason=
hi_n10000-113-s992980497c45420750.ukp	ukp5	ok	1	0.482224	4569770267.000000	45420738.000000	1					elapsed_seconds=0.710271
hi_n10000-114-s455861864c29391418.ukp	faithful	ok	1	0.095890	4272927082.000000	29391282.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.101165 last_stop_reason=
hi_n10000-114-s455861864c29391418.ukp	ukp5	ok	1	0.383940	4272927082.000000	29391282.000000	1					elapsed_seconds=0.551013
hi_n10000-115-s379824190c18555434.ukp	faithful	ok	1	0.121043	2543845350.000000	18555422.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.125806 last_stop_reason=
hi_n10000-115-s379824190c18555434.ukp	ukp5	ok	1	0.359238	2543845350.000000	18555422.000000	1					elapsed_seconds=0.474750
hi_n10000-116-s239745902c72714935.ukp	faithful	ok	1	0.252675	10634593223.000000	72714921.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.258931 last_stop_reason=
hi_n10000-116-s239745902c72714935.ukp	ukp5	ok	1	0.729992	10634593223.000000	72714921.000000	1					elapsed_seconds=1.103750
hi_n10000-117-s248366140c20581375.ukp	faithful	ok	1	0.161841	2992871549.000000	20581368.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.166864 last_stop_reason=
hi_n10000-117-s248366140c20581375.ukp	ukp5	ok	1	0.345217	2992871549.000000	20581368.000000	1					elapsed_seconds=0.471659
hi_n10000-118-s155606980c62289029.ukp	faithful	ok	1	0.084574	8283461875.000000	62289007.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.090158 last_stop_reason=
hi_n10000-118-s155606980c62289029.ukp	ukp5	ok	1	0.652344	8283461875.000000	62289007.000000	1					elapsed_seconds=0.972819
