# EDUK2 solver execution report
# generated_at: 2026-08-24T14:39:18-03:00
instance	algorithm	status	runs	elapsed_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
corepb.ukp	faithful	ok	1	0,805103	10077782,000000	999999,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
corepb.ukp	ukp5	ok	1	0,578548	10077782,000000	999999,000000	1					internal_seconds=0.547549
example.ukp	faithful	ok	1	0,003550	90,000000	60,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
example.ukp	ukp5	ok	1	0,004561	90,000000	60,000000	1					internal_seconds=5.3499e-05
exnsd16.ukp	faithful	ok	1	0,005435	1029680,000000	889303,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
exnsd16.ukp	ukp5	ok	1	0,010462	1029680,000000	889303,000000	1					internal_seconds=0.00258922
exnsd18.ukp	faithful	ok	1	0,005314	1112131,000000	933366,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
exnsd18.ukp	ukp5	ok	1	0,007678	1112131,000000	933366,000000	1					internal_seconds=0.00122693
exnsd20.ukp	faithful	ok	1	0,007977	1026086,000000	914965,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
exnsd20.ukp	ukp5	ok	1	0,010700	1026086,000000	914965,000000	1					internal_seconds=0.00264282
exnsd26.ukp	faithful	ok	1	0,008184	1027564,000000	934159,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
exnsd26.ukp	ukp5	ok	1	0,015890	1027564,000000	934159,000000	1					internal_seconds=0.00672412
exnsdbis10.ukp	faithful	ok	1	0,013883	1028035,000000	894642,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
exnsdbis10.ukp	ukp5	ok	1	0,019653	1028035,000000	894642,000000	1					internal_seconds=0.00895078
exnsdbis18.ukp	faithful	ok	1	0,015271	1037156,000000	917598,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
exnsdbis18.ukp	ukp5	ok	1	0,019871	1037156,000000	917598,000000	1					internal_seconds=0.00957843
exnsds12.ukp	faithful	ok	1	0,016742	3793952,000000	1624196,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
exnsds12.ukp	ukp5	ok	1	0,041117	3793952,000000	1624196,000000	1					internal_seconds=0.0165464
