# EDUK2 solver execution report
# generated_at: 2026-08-24T21:16:47-03:00
# primary_time: internal_seconds (average over successful runs)
instance	algorithm	status	runs	internal_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
nsds2_n20000wmin20000-0-s155213243c1596642.ukp	faithful	ok	1	0.034822	2015236.000000	1596636.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.056113 last_stop_reason=
nsds2_n20000wmin20000-0-s155213243c1596642.ukp	ukp5	ok	1	0.320017	2015236.000000	1596636.000000	1					elapsed_seconds=0.349683
nsds2_n20000wmin20000-100-s305421952c1385552.ukp	faithful	ok	1	0.071271	1742372.000000	1385535.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.091353 last_stop_reason=
nsds2_n20000wmin20000-100-s305421952c1385552.ukp	ukp5	ok	1	0.375807	1742372.000000	1385535.000000	1					elapsed_seconds=0.405116
nsds2_n20000wmin20000-101-s879272876c1649031.ukp	faithful	ok	1	0.042433	2082185.000000	1649003.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.056912 last_stop_reason=
nsds2_n20000wmin20000-101-s879272876c1649031.ukp	ukp5	ok	1	0.461212	2082185.000000	1649003.000000	1					elapsed_seconds=0.492622
nsds2_n20000wmin20000-102-s316472754c1228505.ukp	faithful	ok	1	0.017480	1551778.000000	1228491.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.024228 last_stop_reason=
nsds2_n20000wmin20000-102-s316472754c1228505.ukp	ukp5	ok	1	0.242368	1551778.000000	1228491.000000	1					elapsed_seconds=0.270014
nsds2_n20000wmin20000-103-s743151267c1121428.ukp	faithful	ok	1	0.017228	1419967.000000	1121424.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.024390 last_stop_reason=
nsds2_n20000wmin20000-103-s743151267c1121428.ukp	ukp5	ok	1	0.482453	1419967.000000	1121424.000000	1					elapsed_seconds=0.509497
nsds2_n20000wmin20000-104-s207123742c1116716.ukp	faithful	ok	1	0.024341	1401886.000000	1116655.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.038739 last_stop_reason=
nsds2_n20000wmin20000-104-s207123742c1116716.ukp	ukp5	ok	1	0.549152	1401886.000000	1116655.000000	1					elapsed_seconds=0.574448
nsds2_n20000wmin20000-105-s723015531c1439153.ukp	faithful	ok	1	0.032611	1828592.000000	1439137.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.047602 last_stop_reason=
nsds2_n20000wmin20000-105-s723015531c1439153.ukp	ukp5	ok	1	0.461230	1828592.000000	1439137.000000	1					elapsed_seconds=0.489377
nsds2_n20000wmin20000-106-s32492284c1230787.ukp	faithful	ok	1	0.109508	1540618.000000	1230785.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.124329 last_stop_reason=
nsds2_n20000wmin20000-106-s32492284c1230787.ukp	ukp5	ok	1	0.636147	1540618.000000	1230785.000000	1					elapsed_seconds=0.663655
nsds2_n20000wmin20000-107-s31387311c1742111.ukp	faithful	ok	1	0.030836	2212973.000000	1742090.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.036933 last_stop_reason=
nsds2_n20000wmin20000-107-s31387311c1742111.ukp	ukp5	ok	1	0.318748	2212973.000000	1742090.000000	1					elapsed_seconds=0.348684
nsds2_n20000wmin20000-108-s678444546c1220760.ukp	faithful	ok	1	0.068174	1543563.000000	1220711.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.082160 last_stop_reason=
nsds2_n20000wmin20000-108-s678444546c1220760.ukp	ukp5	ok	1	0.427856	1543563.000000	1220711.000000	1					elapsed_seconds=0.455862
nsds2_n20000wmin20000-109-s507400487c1533768.ukp	faithful	ok	1	0.007708	1961499.000000	1533756.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.021282 last_stop_reason=
nsds2_n20000wmin20000-109-s507400487c1533768.ukp	ukp5	ok	1	0.208359	1961499.000000	1533756.000000	1					elapsed_seconds=0.238184
nsds2_n20000wmin20000-10-s260379653c1491928.ukp	faithful	ok	1	0.016792	1877550.000000	1491923.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.023004 last_stop_reason=
nsds2_n20000wmin20000-10-s260379653c1491928.ukp	ukp5	ok	1	0.362473	1877550.000000	1491923.000000	1					elapsed_seconds=0.393097
nsds2_n20000wmin20000-110-s245781550c1180507.ukp	faithful	ok	1	0.097786	1485920.000000	1180500.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.112237 last_stop_reason=
nsds2_n20000wmin20000-110-s245781550c1180507.ukp	ukp5	ok	1	0.809945	1485920.000000	1180500.000000	1					elapsed_seconds=0.838211
nsds2_n20000wmin20000-111-s259905739c1734985.ukp	faithful	ok	1	0.033833	2188861.000000	1734956.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.040019 last_stop_reason=
nsds2_n20000wmin20000-111-s259905739c1734985.ukp	ukp5	ok	1	0.525613	2188861.000000	1734956.000000	1					elapsed_seconds=0.558819
nsds2_n20000wmin20000-112-s351421871c1221076.ukp	faithful	ok	1	0.025421	1539219.000000	1221041.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.031720 last_stop_reason=
nsds2_n20000wmin20000-112-s351421871c1221076.ukp	ukp5	ok	1	0.555696	1539219.000000	1221041.000000	1					elapsed_seconds=0.586173
nsds2_n20000wmin20000-113-s47721841c1790160.ukp	faithful	ok	1	0.172109	2239899.000000	1790159.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.186236 last_stop_reason=
nsds2_n20000wmin20000-113-s47721841c1790160.ukp	ukp5	ok	1	0.535440	2239899.000000	1790159.000000	1					elapsed_seconds=0.566582
nsds2_n20000wmin20000-114-s981619751c1457662.ukp	faithful	ok	1	0.046827	1838400.000000	1457662.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.053173 last_stop_reason=
nsds2_n20000wmin20000-114-s981619751c1457662.ukp	ukp5	ok	1	0.368859	1838400.000000	1457662.000000	1					elapsed_seconds=0.398171
nsds2_n20000wmin20000-115-s11371460c1659902.ukp	faithful	ok	1	0.179146	2078600.000000	1659898.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.185250 last_stop_reason=
