# EDUK2 solver execution report
# generated_at: 2026-08-24T15:29:07-03:00
instance	algorithm	status	runs	elapsed_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
saw_n100000wmin10000-0-s985850175c6792927.ukp	faithful	ok	1	0,049829	6793604,000000	6792927,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-0-s985850175c6792927.ukp	ukp5	ok	1	3,961972	6793604,000000	6792927,000000	1					internal_seconds=3.84714
saw_n100000wmin10000-100-s565370992c7030881.ukp	faithful	ok	1	0,196437	7032985,000000	7030881,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-100-s565370992c7030881.ukp	ukp5	ok	1	4,055903	7032985,000000	7030880,000000	1					internal_seconds=3.94546
saw_n100000wmin10000-101-s165560274c9800050.ukp	faithful	ok	1	0,046770	9804944,000000	9800050,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-101-s165560274c9800050.ukp	ukp5	ok	1	3,937254	9804944,000000	9800050,000000	1					internal_seconds=3.82132
saw_n100000wmin10000-102-s444470635c8748522.ukp	faithful	ok	1	0,225628	8749393,000000	8748522,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-102-s444470635c8748522.ukp	ukp5	ok	1	3,884541	8749393,000000	8748522,000000	1					internal_seconds=3.77417
saw_n100000wmin10000-103-s635142197c1786659.ukp	faithful	ok	1	0,340905	1787191,000000	1786659,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-103-s635142197c1786659.ukp	ukp5	ok	1	4,219666	1787191,000000	1786658,000000	1					internal_seconds=4.12478
saw_n100000wmin10000-104-s336666965c9953534.ukp	faithful	ok	1	0,814655	9954526,000000	9953534,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-104-s336666965c9953534.ukp	ukp5	ok	1	3,899274	9954526,000000	9953533,000000	1					internal_seconds=3.78508
saw_n100000wmin10000-105-s713560984c2451647.ukp	faithful	ok	1	0,054631	2452866,000000	2451647,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-105-s713560984c2451647.ukp	ukp5	ok	1	4,544182	2452866,000000	2451647,000000	1					internal_seconds=4.44529
