# EDUK2 solver execution report
# generated_at: 2026-08-24T21:12:30-03:00
# primary_time: internal_seconds (average over successful runs)
instance	algorithm	status	runs	internal_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
ss_wmin10000wmax100000n10000-0-s827183242c564610.ukp	faithful	ok	1	0.008848	564610.000000	564610.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.014384 last_stop_reason=
ss_wmin10000wmax100000n10000-0-s827183242c564610.ukp	ukp5	ok	1	0.003950	564610.000000	564610.000000	1					elapsed_seconds=0.020373
ss_wmin10000wmax100000n10000-1-s843367405c723320.ukp	faithful	ok	1	0.002387	723320.000000	723320.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.006676 last_stop_reason=
ss_wmin10000wmax100000n10000-1-s843367405c723320.ukp	ukp5	ok	1	0.002530	723320.000000	723320.000000	1					elapsed_seconds=0.018328
ss_wmin10000wmax100000n10000-2-s528806317c937409.ukp	faithful	ok	1	0.008874	937409.000000	937409.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.014093 last_stop_reason=
ss_wmin10000wmax100000n10000-2-s528806317c937409.ukp	ukp5	ok	1	0.002574	937409.000000	937409.000000	1					elapsed_seconds=0.018025
ss_wmin10000wmax100000n10000-3-s780179313c600195.ukp	faithful	ok	1	0.003393	600195.000000	600195.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.008462 last_stop_reason=
ss_wmin10000wmax100000n10000-3-s780179313c600195.ukp	ukp5	ok	1	0.002452	600195.000000	600195.000000	1					elapsed_seconds=0.016590
ss_wmin10000wmax100000n10000-4-s721215008c833689.ukp	faithful	ok	1	0.003231	833689.000000	833689.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.008310 last_stop_reason=
ss_wmin10000wmax100000n10000-4-s721215008c833689.ukp	ukp5	ok	1	0.002467	833689.000000	833689.000000	1					elapsed_seconds=0.016073
ss_wmin10000wmax100000n10000-5-s110877071c631507.ukp	faithful	ok	1	0.002690	631507.000000	631507.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.007395 last_stop_reason=
ss_wmin10000wmax100000n10000-5-s110877071c631507.ukp	ukp5	ok	1	0.002505	631507.000000	631507.000000	1					elapsed_seconds=0.018308
ss_wmin10000wmax100000n10000-6-s227708629c960025.ukp	faithful	ok	1	0.003373	960025.000000	960025.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.008773 last_stop_reason=
ss_wmin10000wmax100000n10000-6-s227708629c960025.ukp	ukp5	ok	1	0.004313	960025.000000	960025.000000	1					elapsed_seconds=0.022365
ss_wmin10000wmax100000n10000-7-s177710744c695800.ukp	faithful	ok	1	0.003270	695800.000000	695800.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.008461 last_stop_reason=
ss_wmin10000wmax100000n10000-7-s177710744c695800.ukp	ukp5	ok	1	0.002418	695800.000000	695800.000000	1					elapsed_seconds=0.015814
ss_wmin10000wmax100000n10000-8-s991580855c881113.ukp	faithful	ok	1	0.003253	881113.000000	881113.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.008540 last_stop_reason=
ss_wmin10000wmax100000n10000-8-s991580855c881113.ukp	ukp5	ok	1	0.002754	881113.000000	881113.000000	1					elapsed_seconds=0.018576
ss_wmin10000wmax100000n10000-9-s126456688c814865.ukp	faithful	ok	1	0.008705	814865.000000	814865.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.013703 last_stop_reason=
ss_wmin10000wmax100000n10000-9-s126456688c814865.ukp	ukp5	ok	1	0.004021	814865.000000	814865.000000	1					elapsed_seconds=0.020606
ss_wmin10000wmax100000n1000-0-s827183242c822011.ukp	faithful	ok	1	0.002237	822011.000000	822011.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.006907 last_stop_reason=
ss_wmin10000wmax100000n1000-0-s827183242c822011.ukp	ukp5	ok	1	0.001895	822011.000000	822011.000000	1					elapsed_seconds=0.009521
ss_wmin10000wmax100000n1000-1-s843367405c974920.ukp	faithful	ok	1	0.002345	974920.000000	974920.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.006650 last_stop_reason=
ss_wmin10000wmax100000n1000-1-s843367405c974920.ukp	ukp5	ok	1	0.002265	974920.000000	974920.000000	1					elapsed_seconds=0.011806
ss_wmin10000wmax100000n1000-2-s528806317c898349.ukp	faithful	ok	1	0.001368	898349.000000	898349.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.005530 last_stop_reason=
ss_wmin10000wmax100000n1000-2-s528806317c898349.ukp	ukp5	ok	1	0.001646	898349.000000	898349.000000	1					elapsed_seconds=0.008891
ss_wmin10000wmax100000n1000-3-s780179313c780916.ukp	faithful	ok	1	0.002250	780916.000000	780916.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.006185 last_stop_reason=
ss_wmin10000wmax100000n1000-3-s780179313c780916.ukp	ukp5	ok	1	0.001609	780916.000000	780916.000000	1					elapsed_seconds=0.008375
ss_wmin10000wmax100000n1000-4-s721215008c678900.ukp	faithful	ok	1	0.000954	678900.000000	678900.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.004474 last_stop_reason=
ss_wmin10000wmax100000n1000-4-s721215008c678900.ukp	ukp5	ok	1	0.001575	678900.000000	678900.000000	1					elapsed_seconds=0.008200
ss_wmin10000wmax100000n1000-5-s110877071c784914.ukp	faithful	ok	1	0.001611	784914.000000	784914.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.005762 last_stop_reason=
ss_wmin10000wmax100000n1000-5-s110877071c784914.ukp	ukp5	ok	1	0.002363	784914.000000	784914.000000	1					elapsed_seconds=0.010718
ss_wmin10000wmax100000n1000-6-s227708629c511609.ukp	faithful	ok	1	0.002485	511609.000000	511609.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.006460 last_stop_reason=
ss_wmin10000wmax100000n1000-6-s227708629c511609.ukp	ukp5	ok	1	0.002402	511609.000000	511609.000000	1					elapsed_seconds=0.009984
