# EDUK2 solver execution report
# generated_at: 2026-08-24T21:13:28-03:00
# primary_time: internal_seconds (average over successful runs)
instance	algorithm	status	runs	internal_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
ss2_wmin100000wmax1000000n100000-0-s827183242c7023986.ukp	faithful	ok	1	0.249458	7023986.000000	7023986.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.261407 last_stop_reason=
ss2_wmin100000wmax1000000n100000-0-s827183242c7023986.ukp	ukp5	ok	1	0.119595	7023986.000000	7023986.000000	1					elapsed_seconds=0.225486
ss2_wmin100000wmax1000000n100000-1-s843367405c5761519.ukp	faithful	ok	1	0.027869	5761519.000000	5761519.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.049411 last_stop_reason=
ss2_wmin100000wmax1000000n100000-1-s843367405c5761519.ukp	ukp5	ok	1	0.116921	5761519.000000	5761519.000000	1					elapsed_seconds=0.215575
ss2_wmin100000wmax1000000n100000-2-s528806317c9676334.ukp	faithful	ok	1	0.243119	9676334.000000	9676334.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.263450 last_stop_reason=
ss2_wmin100000wmax1000000n100000-2-s528806317c9676334.ukp	ukp5	ok	1	0.118578	9676334.000000	9676334.000000	1					elapsed_seconds=0.227156
ss2_wmin100000wmax1000000n100000-3-s780179313c7805226.ukp	faithful	ok	1	0.234897	7805226.000000	7805226.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.257009 last_stop_reason=
ss2_wmin100000wmax1000000n100000-3-s780179313c7805226.ukp	ukp5	ok	1	0.117813	7805226.000000	7805226.000000	1					elapsed_seconds=0.222826
ss2_wmin100000wmax1000000n100000-4-s721215008c5743225.ukp	faithful	ok	1	0.029045	5743225.000000	5743225.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.050292 last_stop_reason=
ss2_wmin100000wmax1000000n100000-4-s721215008c5743225.ukp	ukp5	ok	1	0.115017	5743225.000000	5743225.000000	1					elapsed_seconds=0.214588
ss2_wmin100000wmax1000000n100000-5-s110877071c9041585.ukp	faithful	ok	1	0.241700	9041585.000000	9041585.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.251870 last_stop_reason=
ss2_wmin100000wmax1000000n100000-5-s110877071c9041585.ukp	ukp5	ok	1	0.124943	9041585.000000	9041585.000000	1					elapsed_seconds=0.236261
ss2_wmin100000wmax1000000n100000-6-s227708629c8504831.ukp	faithful	ok	1	0.035623	8504831.000000	8504831.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.057345 last_stop_reason=
ss2_wmin100000wmax1000000n100000-6-s227708629c8504831.ukp	ukp5	ok	1	0.118638	8504831.000000	8504831.000000	1					elapsed_seconds=0.224406
ss2_wmin100000wmax1000000n100000-7-s177710744c9575550.ukp	faithful	ok	1	0.237873	9575550.000000	9575550.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.260276 last_stop_reason=
ss2_wmin100000wmax1000000n100000-7-s177710744c9575550.ukp	ukp5	ok	1	0.113550	9575550.000000	9575550.000000	1					elapsed_seconds=0.221510
ss2_wmin100000wmax1000000n100000-8-s991580855c5891284.ukp	faithful	ok	1	0.026447	5891284.000000	5891284.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.044060 last_stop_reason=
